Table 1
Unit Name,Type of Downtime Entry,First Day,Downtime on First Day,Downtime Code 1,Last Day,Downtime on Last Day,Total Downtime,,,,,,,,,,,,,,,,,,,
FWU #909,single day,11/15/19,14.00,Power Failure,11/15/19,,14.00,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,11/16/19,5.00,Power Failure,11/16/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #1312,single day,11/16/19,5.00,Power Failure,11/16/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #501,single day,11/16/19,5.00,Power Failure,11/16/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #503,single day,11/16/19,5.00,Power Failure,11/16/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #506,single day,11/16/19,12.00,Surface Equipment Failure,11/16/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #601,single day,11/16/19,5.00,Power Failure,11/16/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #602,single day,11/16/19,5.00,Power Failure,11/16/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #701,single day,11/16/19,8.00,Surface Equipment Failure,11/16/19,,8.00,,,,,,,,,,,,,,,,,,,
FWU #907,single day,11/16/19,5.00,Power Failure,11/16/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #909,single day,11/16/19,5.00,Power Failure,11/16/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #506,single day,11/17/19,8.00,Power Failure,11/17/19,,8.00,,,,,,,,,,,,,,,,,,,
FWU #506,single day,11/18/19,12.00,Surface Equipment Failure,11/18/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,11/19/19,7.00,Power Failure,11/19/19,,7.00,,,,,,,,,,,,,,,,,,,
FWU #1313 (INJ),Single Day,11/19/19,,,11/19/19,,0.00,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,11/19/19,5.00,Power Failure,11/19/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #1317,single day,11/19/19,5.00,Power Failure,11/19/19,,5.00,,,,,,,,,,,,,,,,,,,
